"name";"score"
"org.joda.time.field.AbstractReadableInstantFieldProperty.getAsShortText(Ljava/util/Locale;)Ljava/lang/String;";0
"org.joda.time.chrono.BasicChronology.getDayOfYear(J)I";0
"org.joda.time.chrono.LimitChronology.getLowerLimit()Lorg/joda/time/DateTime;";0
"org.joda.time.format.PeriodFormatterBuilder$SimpleAffix.printTo(Ljava/io/Writer;I)V";0
"org.joda.time.LocalTime$Property.roundFloorCopy()Lorg/joda/time/LocalTime;";0
"org.joda.time.convert.AbstractConverter.getPeriodType(Ljava/lang/Object;)Lorg/joda/time/PeriodType;";0
"org.joda.time.Seconds.toStandardMinutes()Lorg/joda/time/Minutes;";0
"org.joda.time.convert.ConverterSet.copyInto([Lorg/joda/time/convert/Converter;)V";0
"org.joda.time.chrono.EthiopicChronology.getDateTimeMillis(IIIIIII)J";0
"org.joda.time.Period.getDays()I";0
"org.joda.time.Partial.getValue(I)I";0
